# epic -cpu 25 -t examples/test.bed -c examples/control.bed -o examples/expected_results_log2fc.csv -bw bigwigs/
Chromosome Start End ChIP Input Score Log2FC P FDR
chr1 23568400 23568599 2 0 13.54464274405703 11.30748585550573 8.184731894908448e-11 6.319374393278151e-10
chr1 26401200 26401399 2 0 13.54464274405703 11.30748585550573 8.184731894908448e-11 6.319374393278151e-10
chr1 33054800 33055399 2 0 14.288252844518933 9.722523354784574 2.207263610333191e-09 3.85690272963484e-09
chr1 33365200 33365399 2 0 13.54464274405703 11.30748585550573 8.184731894908448e-11 6.319374393278151e-10
chr1 39422200 39422799 2 0 14.288252844518933 9.722523354784574 2.207263610333191e-09 3.85690272963484e-09
chr1 51473600 51474399 2 0 14.288252844518933 9.30748585550573 5.228937118152232e-09 6.861688234097e-09
chr1 58785200 58786199 2 0 14.288252844518933 8.985557760618368 1.0206726421638307e-08 1.1002055753194539e-08
chr1 59430000 59430199 2 0 13.54464274405703 11.30748585550573 8.184731894908448e-11 6.319374393278151e-10
chr1 65065600 65066199 2 0 14.288252844518933 9.722523354784574 2.207263610333191e-09 3.85690272963484e-09
chr1 91625400 91625799 2 0 14.288252844518933 10.30748585550573 6.543911699123029e-10 1.8569048582126885e-09
chr1 100589600 100589799 2 0 13.54464274405703 11.30748585550573 8.184731894908448e-11 6.319374393278151e-10
chr1 103840400 103841199 2 0 14.288252844518933 9.30748585550573 5.228937118152232e-09 6.861688234097e-09
chr1 113416400 113416799 2 0 14.288252844518933 10.30748585550573 6.543911699123029e-10 1.8569048582126885e-09
chr1 113486600 113487199 2 0 14.288252844518933 9.722523354784574 2.207263610333191e-09 3.85690272963484e-09
chr1 115014800 115014999 2 0 13.54464274405703 11.30748585550573 8.184731894908448e-11 6.319374393278151e-10
chr1 144181400 144181999 2 0 14.288252844518933 9.722523354784574 2.207263610333191e-09 3.85690272963484e-09
chr1 171053400 171054599 3 0 21.432379266778398 9.30748585550573 2.0859275044291852e-11 6.925279314704895e-10
chr1 181707400 181707999 2 0 14.288252844518933 9.722523354784574 2.207263610333191e-09 3.85690272963484e-09
chr1 203357400 203357799 2 0 14.288252844518933 10.30748585550573 6.543911699123029e-10 1.8569048582126885e-09
chr1 210178400 210178999 2 0 14.288252844518933 9.722523354784574 2.207263610333191e-09 3.85690272963484e-09
chr1 210471400 210471599 2 0 13.54464274405703 11.30748585550573 8.184731894908448e-11 6.319374393278151e-10
