# epic -t examples/test.bed -c examples/control.bed -cpu 25
Chromosome Start End ChIP Input Score Fold_change P FDR
chr1 23568400 23568599 2 0 13.498144796491546 2313.0185252625197 1.076762117863092e-10 8.313605189082478e-10
chr1 26401200 26401399 2 0 13.498144796491546 2313.0185252625197 1.076762117863092e-10 8.313605189082478e-10
chr1 33054800 33055399 2 0 14.105738643033899 771.0061750875067 2.903489756098015e-09 5.073466310655478e-09
chr1 33365200 33365399 2 0 13.498144796491546 2313.0185252625197 1.076762117863092e-10 8.313605189082478e-10
chr1 39422200 39422799 2 0 14.105738643033899 771.0061750875067 2.903489756098015e-09 5.073466310655478e-09
chr1 51473600 51474399 2 0 14.105738643033899 578.2546313156299 6.8778849868064595e-09 9.025524962923892e-09
chr1 58785200 58786199 2 0 14.105738643033899 462.603705052504 1.3424662049940943e-08 1.4470739612274004e-08
chr1 59430000 59430199 2 0 13.498144796491546 2313.0185252625197 1.076762117863092e-10 8.313605189082478e-10
chr1 65065600 65066199 2 0 14.105738643033899 771.0061750875067 2.903489756098015e-09 5.073466310655478e-09
chr1 91625400 91625799 2 0 14.105738643033899 1156.5092626312598 8.608512846199368e-10 2.4427574914001626e-09
chr1 100589600 100589799 2 0 13.498144796491546 2313.0185252625197 1.076762117863092e-10 8.313605189082478e-10
chr1 103840400 103841199 2 0 14.105738643033899 578.2546313156299 6.8778849868064595e-09 9.025524962923892e-09
chr1 113416400 113416799 2 0 14.105738643033899 1156.5092626312598 8.608512846199368e-10 2.4427574914001626e-09
chr1 113486600 113487199 2 0 14.105738643033899 771.0061750875067 2.903489756098015e-09 5.073466310655478e-09
chr1 115014800 115014999 2 0 13.498144796491546 2313.0185252625197 1.076762117863092e-10 8.313605189082478e-10
chr1 144181400 144181999 2 0 14.105738643033899 771.0061750875067 2.903489756098015e-09 5.073466310655478e-09
chr1 171053400 171054599 3 0 21.158607964550846 578.25463131563 3.006041342123063e-11 9.980057255848568e-10
chr1 181707400 181707999 2 0 14.105738643033899 771.0061750875067 2.903489756098015e-09 5.073466310655478e-09
chr1 203357400 203357799 2 0 14.105738643033899 1156.5092626312598 8.608512846199368e-10 2.4427574914001626e-09
chr1 210178400 210178999 2 0 14.105738643033899 771.0061750875067 2.903489756098015e-09 5.073466310655478e-09
chr1 210471400 210471599 2 0 13.498144796491546 2313.0185252625197 1.076762117863092e-10 8.313605189082478e-10
chr1 219659800 219660199 2 0 14.105738643033899 1156.5092626312598 8.608512846199368e-10 2.4427574914001626e-09
chr1 220704400 220705199 2 0 14.105738643033899 578.2546313156299 6.8778849868064595e-09 9.025524962923892e-09
